Customer ID,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
141,VIP,Pre-fall shopping,7,6
142,VIP,Summer preperation,9,1
143,Loyal,Christmas present,11,2
144,New,Christmas present,28,9
145,VIP,Back to school,15,6
146,Loyal,Back to school,10,2
147,New,Pre-fall shopping,26,8
148,New,Summer preperation,3,6
149,Loyal,Christmas present,15,1
150,Loyal,Christmas present,6,8
151,Loyal,Christmas present,16,1
152,New,Summer preperation,8,3
153,New,Pre-fall shopping,3,5
154,New,Summer preperation,28,2
155,New,Pre-fall shopping,5,3
156,Loyal,Christmas present,28,7
157,New,Pre-fall shopping,27,3
158,VIP,Back to school,23,6
159,New,Christmas present,15,9
160,VIP,Christmas present,18,9
161,Loyal,Christmas present,5,9
162,VIP,Back to school,18,2
163,VIP,Pre-fall shopping,16,5
164,VIP,Pre-fall shopping,19,4
165,VIP,Christmas present,4,5
166,New,Summer preperation,21,5
167,VIP,Christmas present,7,8
168,VIP,Pre-fall shopping,23,7
169,New,Back to school,26,5
170,VIP,Christmas present,5,3
171,VIP,Back to school,4,8
172,Loyal,Summer preperation,11,7
173,VIP,Pre-fall shopping,29,6
174,New,Summer preperation,7,9
175,VIP,Back to school,13,5
176,New,Pre-fall shopping,18,3
177,New,Christmas present,22,5
178,VIP,Christmas present,26,8
179,New,Summer preperation,17,3
180,Loyal,Pre-fall shopping,6,3
181,New,Summer preperation,27,1
182,Loyal,Pre-fall shopping,16,4
183,Loyal,Pre-fall shopping,15,4
184,New,Back to school,10,8
185,VIP,Pre-fall shopping,27,2
186,VIP,Pre-fall shopping,18,6
187,New,Christmas present,9,7
188,New,Christmas present,16,5
189,New,Pre-fall shopping,9,3
190,New,Back to school,18,6
191,Loyal,Christmas present,27,8
192,New,Christmas present,10,5
193,Loyal,Christmas present,16,3
194,VIP,Summer preperation,18,7
195,New,Pre-fall shopping,26,2
196,Loyal,Pre-fall shopping,21,2
197,Loyal,Back to school,20,9
198,New,Pre-fall shopping,22,8
199,New,Back to school,5,9
200,New,Summer preperation,18,3
201,New,Pre-fall shopping,9,4
202,New,Christmas present,8,4
203,Loyal,Pre-fall shopping,18,3
204,VIP,Back to school,22,7
205,VIP,Summer preperation,26,9
206,New,Summer preperation,12,8
207,New,Back to school,2,5
208,New,Pre-fall shopping,16,8
209,VIP,Pre-fall shopping,29,2
210,Loyal,Summer preperation,15,6
211,VIP,Pre-fall shopping,13,4
212,New,Back to school,19,1
213,New,Pre-fall shopping,11,5
214,New,Christmas present,12,9
215,Loyal,Summer preperation,20,5
216,VIP,Back to school,29,2
217,New,Back to school,24,2
218,VIP,Back to school,26,5
219,VIP,Summer preperation,26,2
220,VIP,Summer preperation,13,4
221,VIP,Summer preperation,4,9
222,Loyal,Pre-fall shopping,27,2
223,VIP,Summer preperation,23,9
224,Loyal,Pre-fall shopping,25,4
225,Loyal,Christmas present,25,7
226,Loyal,Back to school,8,3
227,Loyal,Summer preperation,25,6
228,Loyal,Christmas present,28,7
229,New,Pre-fall shopping,30,9
230,New,Christmas present,11,1
231,New,Christmas present,28,4
232,VIP,Pre-fall shopping,24,4
233,New,Summer preperation,22,2
234,VIP,Pre-fall shopping,24,5
235,Loyal,Summer preperation,2,3
236,VIP,Pre-fall shopping,9,7
237,VIP,Back to school,14,3
238,Loyal,Summer preperation,28,8
239,Loyal,Christmas present,20,5
240,New,Christmas present,10,4
241,Loyal,Christmas present,20,7
242,Loyal,Pre-fall shopping,3,3
243,New,Back to school,25,6
244,Loyal,Back to school,3,8
245,VIP,Pre-fall shopping,6,7
246,Loyal,Pre-fall shopping,6,9
247,VIP,Summer preperation,26,6
248,VIP,Back to school,11,5
249,New,Summer preperation,20,6
250,Loyal,Christmas present,9,8
251,Loyal,Back to school,3,7
252,VIP,Christmas present,23,2
253,VIP,Summer preperation,14,3
254,Loyal,Back to school,4,5
255,VIP,Christmas present,24,3
256,VIP,Back to school,30,5
257,New,Back to school,21,8
258,New,Back to school,10,2
259,Loyal,Christmas present,2,8
260,New,Christmas present,14,6
261,Loyal,Pre-fall shopping,10,8
262,VIP,Summer preperation,13,2
263,Loyal,Summer preperation,22,9
264,New,Pre-fall shopping,11,4
265,New,Summer preperation,13,3
266,VIP,Summer preperation,6,7
267,VIP,Back to school,20,7
268,Loyal,Pre-fall shopping,16,9
269,Loyal,Christmas present,15,4
270,New,Summer preperation,15,3
271,VIP,Summer preperation,30,5
272,New,Christmas present,17,7
273,New,Summer preperation,18,7
274,New,Back to school,26,8
275,Loyal,Summer preperation,11,1
276,VIP,Back to school,2,6
277,VIP,Back to school,12,7
278,New,Pre-fall shopping,6,2
279,VIP,Back to school,29,9
280,Loyal,Back to school,28,7
281,New,Pre-fall shopping,24,4
282,VIP,Christmas present,15,5
283,New,Back to school,10,3
284,New,Christmas present,9,2
285,New,Christmas present,13,1
286,VIP,Back to school,3,4
287,New,Christmas present,10,3
288,VIP,Back to school,26,8
289,VIP,Pre-fall shopping,21,2
290,New,Christmas present,21,6
291,Loyal,Summer preperation,21,7
292,VIP,Back to school,25,5
293,VIP,Summer preperation,23,6
294,VIP,Pre-fall shopping,19,1
295,VIP,Back to school,29,4
296,Loyal,Summer preperation,5,9
297,Loyal,Summer preperation,20,9
298,VIP,Summer preperation,9,8
299,Loyal,Back to school,20,8
300,Loyal,Back to school,6,4
301,VIP,Back to school,23,4
302,VIP,Summer preperation,9,6
303,Loyal,Pre-fall shopping,17,3
304,Loyal,Summer preperation,21,6
305,VIP,Back to school,2,1
306,VIP,Back to school,21,1
307,New,Pre-fall shopping,9,8
308,Loyal,Back to school,11,9
309,New,Pre-fall shopping,12,4
310,VIP,Pre-fall shopping,17,3
311,Loyal,Summer preperation,19,9
312,VIP,Pre-fall shopping,17,8
313,Loyal,Summer preperation,4,1
314,New,Summer preperation,24,4
315,Loyal,Pre-fall shopping,24,5
316,VIP,Summer preperation,29,6
317,New,Pre-fall shopping,19,7
318,VIP,Christmas present,6,2
319,VIP,Summer preperation,20,9
320,VIP,Back to school,14,2
321,New,Back to school,14,8
322,Loyal,Back to school,11,4
323,Loyal,Christmas present,30,1
324,VIP,Pre-fall shopping,6,6
325,New,Pre-fall shopping,29,9
326,New,Back to school,15,5
327,New,Back to school,10,3
328,New,Christmas present,23,3
329,Loyal,Back to school,25,8
330,New,Summer preperation,18,2
331,New,Pre-fall shopping,9,8
332,VIP,Christmas present,25,2
333,Loyal,Summer preperation,16,3
334,Loyal,Back to school,27,3
335,New,Summer preperation,14,2
336,VIP,Pre-fall shopping,29,8
337,VIP,Back to school,24,9
338,VIP,Christmas present,29,2
339,New,Christmas present,20,9
340,Loyal,Pre-fall shopping,24,1
341,Loyal,Back to school,10,7
342,VIP,Summer preperation,16,1
343,VIP,Back to school,30,9
344,New,Back to school,13,7
345,Loyal,Summer preperation,28,4
346,New,Christmas present,26,1
347,VIP,Pre-fall shopping,3,8
348,VIP,Summer preperation,25,3
349,VIP,Christmas present,12,7
350,Loyal,Back to school,6,4
351,Loyal,Pre-fall shopping,2,5
352,Loyal,Christmas present,5,5
353,VIP,Pre-fall shopping,3,5
354,New,Summer preperation,22,6
355,New,Back to school,22,8
356,Loyal,Summer preperation,7,7
357,New,Pre-fall shopping,25,6
358,Loyal,Pre-fall shopping,3,5
359,Loyal,Summer preperation,27,5
360,Loyal,Pre-fall shopping,26,7
361,New,Pre-fall shopping,19,1
362,VIP,Pre-fall shopping,9,8
363,New,Summer preperation,28,2
364,VIP,Pre-fall shopping,14,1
365,Loyal,Summer preperation,27,7
366,VIP,Christmas present,25,9
367,New,Back to school,17,4
368,New,Summer preperation,5,1
369,New,Summer preperation,7,7
370,Loyal,Summer preperation,10,9
371,New,Summer preperation,6,4
372,Loyal,Christmas present,29,1
373,VIP,Christmas present,4,2
374,Loyal,Pre-fall shopping,10,9
375,VIP,Summer preperation,19,6
376,Loyal,Pre-fall shopping,7,6
377,VIP,Pre-fall shopping,4,2
378,New,Summer preperation,4,5
379,Loyal,Back to school,11,8
380,New,Pre-fall shopping,18,1
381,VIP,Christmas present,3,3
382,Loyal,Back to school,23,9
383,VIP,Christmas present,10,7
384,New,Summer preperation,10,5
385,VIP,Pre-fall shopping,17,8
386,Loyal,Back to school,17,5
387,VIP,Summer preperation,22,2
388,VIP,Pre-fall shopping,15,6
389,VIP,Pre-fall shopping,4,7
390,VIP,Christmas present,10,1
391,New,Back to school,4,8
392,New,Christmas present,25,8
393,Loyal,Christmas present,6,2
394,Loyal,Back to school,20,5
395,Loyal,Pre-fall shopping,13,9
396,Loyal,Christmas present,29,3
397,Loyal,Pre-fall shopping,25,6
398,Loyal,Pre-fall shopping,28,4
399,Loyal,Christmas present,28,3
400,Loyal,Pre-fall shopping,28,4
401,New,Summer preperation,16,5
402,Loyal,Summer preperation,7,5
403,New,Summer preperation,2,7
404,New,Christmas present,3,8
405,New,Back to school,17,9
406,Loyal,Christmas present,20,4
407,New,Christmas present,21,8
408,VIP,Back to school,7,2
409,Loyal,Back to school,3,7
410,VIP,Christmas present,2,9
411,New,Back to school,16,1
412,Loyal,Pre-fall shopping,18,9
413,VIP,Summer preperation,30,7
414,Loyal,Christmas present,7,1
415,VIP,Pre-fall shopping,7,3
416,Loyal,Christmas present,9,6
417,Loyal,Summer preperation,2,2
418,Loyal,Pre-fall shopping,10,7
419,VIP,Back to school,24,8
420,VIP,Christmas present,6,2
421,Loyal,Summer preperation,7,4
422,VIP,Pre-fall shopping,22,6
423,New,Summer preperation,25,1
424,Loyal,Summer preperation,7,3
425,Loyal,Summer preperation,26,7
426,Loyal,Back to school,19,6
427,New,Summer preperation,11,6
428,Loyal,Christmas present,17,8
429,Loyal,Christmas present,3,6
430,New,Pre-fall shopping,21,8
431,VIP,Christmas present,14,7
432,VIP,Summer preperation,15,5
433,New,Summer preperation,23,9
434,VIP,Christmas present,13,5
435,Loyal,Back to school,5,6
436,Loyal,Christmas present,16,5
437,VIP,Summer preperation,9,4
438,VIP,Summer preperation,20,6
439,New,Christmas present,11,3
440,VIP,Summer preperation,8,1
441,Loyal,Pre-fall shopping,16,6
442,Loyal,Summer preperation,29,8
443,VIP,Back to school,10,3
444,Loyal,Back to school,12,3
445,VIP,Summer preperation,10,7
446,New,Christmas present,10,3
447,VIP,Summer preperation,19,6
448,VIP,Back to school,14,1
449,VIP,Christmas present,14,9
450,VIP,Summer preperation,18,3
451,New,Back to school,17,2
452,Loyal,Summer preperation,25,8
453,VIP,Back to school,17,6
454,New,Back to school,5,9
455,New,Back to school,5,3
456,New,Back to school,14,8
457,VIP,Pre-fall shopping,29,7
458,New,Pre-fall shopping,12,4
459,VIP,Back to school,22,1
460,Loyal,Summer preperation,29,9
461,VIP,Back to school,2,5
462,New,Back to school,27,9
463,VIP,Back to school,9,6
464,New,Pre-fall shopping,14,5
465,VIP,Christmas present,26,2
466,New,Back to school,12,7
467,New,Summer preperation,22,2
468,Loyal,Summer preperation,12,1
469,New,Back to school,9,4
470,Loyal,Back to school,4,1
471,VIP,Back to school,7,9
472,VIP,Christmas present,23,2
473,New,Back to school,27,1
474,VIP,Pre-fall shopping,15,8
475,New,Summer preperation,9,5
476,Loyal,Christmas present,9,3
477,New,Christmas present,13,8
478,Loyal,Pre-fall shopping,14,6
479,Loyal,Pre-fall shopping,22,9
480,New,Summer preperation,22,7
481,VIP,Pre-fall shopping,20,2
482,New,Pre-fall shopping,12,5
483,Loyal,Christmas present,27,2
484,VIP,Summer preperation,9,8
485,VIP,Back to school,28,6
486,Loyal,Back to school,3,5
487,New,Pre-fall shopping,26,4
488,VIP,Christmas present,21,1
489,Loyal,Pre-fall shopping,18,6
490,New,Back to school,13,9
491,New,Summer preperation,25,8
492,New,Christmas present,2,9
493,Loyal,Back to school,18,4
494,Loyal,Back to school,26,2
495,Loyal,Summer preperation,30,3
496,Loyal,Summer preperation,5,4
497,VIP,Christmas present,4,2
498,Loyal,Back to school,5,2
499,VIP,Christmas present,15,3
500,New,Summer preperation,26,5
501,Loyal,Back to school,30,8
502,Loyal,Christmas present,12,3
503,VIP,Summer preperation,13,3
504,Loyal,Pre-fall shopping,7,2
505,Loyal,Back to school,22,1
506,New,Summer preperation,6,6
507,VIP,Back to school,22,9
508,Loyal,Christmas present,12,7
509,New,Christmas present,25,7
510,VIP,Summer preperation,10,2
511,New,Back to school,6,4
512,New,Summer preperation,3,4
513,New,Back to school,27,3
514,New,Pre-fall shopping,30,3
515,New,Summer preperation,7,7
516,VIP,Christmas present,28,1
517,New,Christmas present,8,1
518,Loyal,Christmas present,5,2
519,Loyal,Summer preperation,24,1
520,New,Christmas present,20,3
521,New,Back to school,5,6
522,Loyal,Back to school,11,1
523,VIP,Pre-fall shopping,23,7
524,New,Pre-fall shopping,12,5
525,New,Christmas present,2,5
526,New,Summer preperation,10,4
527,Loyal,Summer preperation,3,8
528,Loyal,Summer preperation,18,9
529,New,Pre-fall shopping,14,7
530,New,Summer preperation,6,1
531,VIP,Back to school,18,9
532,Loyal,Back to school,11,5
533,VIP,Back to school,26,6
534,Loyal,Christmas present,18,2
535,New,Pre-fall shopping,23,2
536,New,Summer preperation,15,9
537,Loyal,Back to school,12,1
538,Loyal,Christmas present,9,1
539,Loyal,Back to school,2,3
540,New,Pre-fall shopping,11,4
541,VIP,Summer preperation,10,2
542,New,Pre-fall shopping,27,8
543,VIP,Back to school,23,8
544,New,Back to school,22,1
545,Loyal,Pre-fall shopping,17,3
546,Loyal,Back to school,16,4
547,New,Summer preperation,28,7
548,New,Christmas present,17,1
549,New,Pre-fall shopping,21,3
550,VIP,Christmas present,19,5
551,New,Christmas present,5,1
552,Loyal,Back to school,6,2
553,Loyal,Back to school,25,2
554,New,Back to school,27,1
555,VIP,Summer preperation,24,3
556,Loyal,Christmas present,10,6
557,VIP,Christmas present,14,6
558,VIP,Christmas present,11,8
559,VIP,Christmas present,15,4
560,VIP,Christmas present,7,2
561,VIP,Back to school,21,9
562,New,Pre-fall shopping,19,2
563,Loyal,Christmas present,23,7
564,VIP,Summer preperation,6,5
565,New,Christmas present,27,4
566,Loyal,Christmas present,29,8
567,New,Pre-fall shopping,24,4
568,Loyal,Pre-fall shopping,2,1
569,VIP,Pre-fall shopping,10,8
570,New,Christmas present,15,2
571,VIP,Pre-fall shopping,29,5
572,New,Back to school,19,5
573,New,Back to school,13,5
574,Loyal,Pre-fall shopping,24,4
575,Loyal,Summer preperation,7,7
576,VIP,Christmas present,17,6
577,New,Back to school,27,4
578,New,Pre-fall shopping,11,5
579,Loyal,Summer preperation,28,6
580,VIP,Christmas present,7,1
581,New,Christmas present,17,4
582,Loyal,Back to school,6,8
583,New,Summer preperation,2,1
584,Loyal,Summer preperation,14,8
585,Loyal,Back to school,11,2
586,VIP,Pre-fall shopping,14,3
587,VIP,Christmas present,13,6
588,VIP,Summer preperation,26,3
589,New,Christmas present,16,3
590,Loyal,Back to school,25,4
591,Loyal,Christmas present,16,6
592,VIP,Summer preperation,28,6
593,New,Back to school,21,2
594,New,Summer preperation,7,9
595,Loyal,Christmas present,22,8
596,Loyal,Summer preperation,6,8
597,Loyal,Summer preperation,29,6
598,Loyal,Summer preperation,26,1
599,VIP,Back to school,29,5
600,New,Pre-fall shopping,29,2
601,New,Christmas present,15,1
602,Loyal,Back to school,25,6
603,New,Back to school,19,7
604,New,Summer preperation,19,3
605,VIP,Back to school,11,5
606,VIP,Christmas present,5,1
607,New,Pre-fall shopping,7,4
608,VIP,Summer preperation,16,3
609,Loyal,Christmas present,2,5
610,Loyal,Summer preperation,6,3
611,Loyal,Christmas present,12,8
612,VIP,Summer preperation,9,7
613,Loyal,Christmas present,16,1
614,VIP,Summer preperation,27,5
615,Loyal,Pre-fall shopping,2,4
616,New,Back to school,3,1
617,New,Pre-fall shopping,13,6
618,Loyal,Summer preperation,15,4
619,New,Back to school,21,7
620,VIP,Back to school,16,4
621,VIP,Back to school,12,8
622,VIP,Back to school,10,6
623,New,Pre-fall shopping,3,6
624,Loyal,Back to school,2,2
625,Loyal,Pre-fall shopping,5,4
626,Loyal,Summer preperation,30,3
627,VIP,Christmas present,27,3
628,Loyal,Pre-fall shopping,27,2
629,VIP,Christmas present,28,4
630,Loyal,Pre-fall shopping,12,9
631,New,Christmas present,7,5
632,Loyal,Pre-fall shopping,10,1
633,VIP,Back to school,16,6
634,VIP,Christmas present,22,3
635,VIP,Pre-fall shopping,25,4
636,New,Back to school,28,5
637,New,Summer preperation,20,7
638,New,Summer preperation,14,8
639,VIP,Summer preperation,22,6
640,VIP,Pre-fall shopping,2,2
641,VIP,Back to school,11,7
642,New,Summer preperation,5,9
643,New,Back to school,15,4
644,VIP,Summer preperation,6,8
645,Loyal,Christmas present,18,2
646,VIP,Back to school,29,9
647,VIP,Pre-fall shopping,27,8
648,New,Summer preperation,12,1
649,VIP,Summer preperation,14,8
650,New,Christmas present,24,3
651,Loyal,Christmas present,19,8
652,New,Summer preperation,24,3
653,New,Back to school,17,3
654,Loyal,Summer preperation,22,3
655,VIP,Christmas present,9,8
656,New,Pre-fall shopping,16,2
657,VIP,Summer preperation,26,9
658,Loyal,Back to school,29,1
659,VIP,Christmas present,2,1
660,VIP,Back to school,14,9
661,Loyal,Back to school,20,3
662,VIP,Summer preperation,3,3
663,Loyal,Christmas present,17,3
664,New,Pre-fall shopping,2,2
665,Loyal,Christmas present,13,9
666,Loyal,Christmas present,27,7
667,VIP,Back to school,24,1
668,New,Back to school,16,4
669,VIP,Christmas present,22,6
670,New,Back to school,5,6
671,Loyal,Summer preperation,27,6
672,New,Christmas present,28,1
673,VIP,Summer preperation,20,7
674,New,Back to school,14,6
675,VIP,Pre-fall shopping,8,8
676,VIP,Back to school,24,1
677,New,Christmas present,29,9
678,New,Summer preperation,25,4
679,New,Pre-fall shopping,30,9
680,VIP,Summer preperation,13,3
681,VIP,Summer preperation,2,5
682,Loyal,Summer preperation,13,5
683,New,Christmas present,23,3
684,New,Back to school,8,2
685,Loyal,Summer preperation,17,7
686,Loyal,Pre-fall shopping,26,2
687,New,Back to school,3,5
688,VIP,Pre-fall shopping,10,3
689,New,Pre-fall shopping,13,6
690,Loyal,Pre-fall shopping,7,8
691,VIP,Summer preperation,10,9
692,New,Pre-fall shopping,7,3
693,VIP,Christmas present,30,1
694,New,Christmas present,18,2
695,Loyal,Summer preperation,23,6
696,New,Back to school,19,3
697,New,Pre-fall shopping,20,9
698,Loyal,Back to school,21,3
699,Loyal,Pre-fall shopping,4,7
700,VIP,Christmas present,11,6
701,VIP,Christmas present,15,8
702,New,Christmas present,3,8
703,Loyal,Summer preperation,29,6
704,Loyal,Back to school,30,2
705,Loyal,Summer preperation,16,9
706,New,Pre-fall shopping,20,5
707,New,Summer preperation,25,3
708,Loyal,Back to school,24,1
709,New,Summer preperation,24,4
710,Loyal,Pre-fall shopping,12,4
711,Loyal,Christmas present,19,6
712,Loyal,Pre-fall shopping,27,8
713,New,Pre-fall shopping,18,2
714,VIP,Back to school,3,6
715,VIP,Summer preperation,25,6
716,VIP,Pre-fall shopping,11,1
717,VIP,Pre-fall shopping,28,2
718,VIP,Summer preperation,26,9
719,New,Summer preperation,10,8
720,Loyal,Back to school,17,7
721,Loyal,Christmas present,21,4
722,New,Back to school,6,5
723,VIP,Pre-fall shopping,3,4
724,New,Back to school,11,8
725,VIP,Back to school,5,9
726,New,Pre-fall shopping,2,5
727,New,Pre-fall shopping,19,4
728,VIP,Christmas present,3,2
729,VIP,Back to school,24,8
730,Loyal,Summer preperation,4,9
731,Loyal,Pre-fall shopping,5,2
732,New,Christmas present,23,4
733,VIP,Christmas present,24,6
734,VIP,Summer preperation,26,8
735,New,Christmas present,5,3
736,New,Pre-fall shopping,18,1
737,VIP,Pre-fall shopping,29,5
738,VIP,Pre-fall shopping,4,8
739,VIP,Back to school,8,8
740,Loyal,Back to school,5,1
741,VIP,Back to school,19,4
742,VIP,Back to school,5,2
743,VIP,Back to school,24,6
744,New,Summer preperation,4,8
745,VIP,Back to school,5,3
746,New,Pre-fall shopping,17,5
747,New,Summer preperation,5,2
748,Loyal,Christmas present,29,5
749,New,Christmas present,9,2
750,VIP,Christmas present,23,3
751,VIP,Summer preperation,19,2
752,Loyal,Back to school,10,2
753,Loyal,Pre-fall shopping,22,3
754,New,Summer preperation,3,8
755,New,Summer preperation,5,6
756,Loyal,Back to school,7,8
757,VIP,Back to school,26,4
758,New,Back to school,8,4
759,New,Pre-fall shopping,9,3
760,Loyal,Summer preperation,20,1
761,Loyal,Pre-fall shopping,3,6
762,New,Christmas present,23,8
763,VIP,Christmas present,23,6
764,Loyal,Back to school,2,1
765,New,Christmas present,7,3
766,Loyal,Pre-fall shopping,8,2
767,Loyal,Pre-fall shopping,20,2
768,VIP,Summer preperation,16,9
769,New,Pre-fall shopping,21,8
770,Loyal,Pre-fall shopping,20,2
771,New,Christmas present,9,1
772,Loyal,Pre-fall shopping,23,4
773,Loyal,Christmas present,18,8
774,New,Christmas present,25,5
775,New,Christmas present,30,6
776,Loyal,Pre-fall shopping,8,1
777,New,Pre-fall shopping,27,5
778,VIP,Back to school,19,6
779,VIP,Back to school,18,2
780,VIP,Pre-fall shopping,27,6
781,New,Summer preperation,6,6
782,New,Back to school,18,8
783,Loyal,Pre-fall shopping,20,7
784,New,Pre-fall shopping,7,1
785,New,Pre-fall shopping,5,6
786,New,Pre-fall shopping,25,9
787,New,Summer preperation,3,1
788,Loyal,Pre-fall shopping,30,9
789,New,Back to school,27,7
790,New,Back to school,10,8
791,New,Back to school,9,9
792,New,Pre-fall shopping,20,7
793,Loyal,Pre-fall shopping,22,6
794,New,Christmas present,15,4
795,VIP,Christmas present,26,1
796,New,Back to school,7,7
797,Loyal,Christmas present,13,5
798,New,Pre-fall shopping,25,2
799,Loyal,Christmas present,14,9
800,Loyal,Pre-fall shopping,14,8
801,VIP,Pre-fall shopping,12,1
802,New,Christmas present,2,6
803,VIP,Summer preperation,25,6
804,New,Christmas present,8,8
805,VIP,Christmas present,2,6
806,New,Back to school,4,6
807,VIP,Pre-fall shopping,8,9
808,Loyal,Christmas present,10,2
809,New,Summer preperation,14,3
810,Loyal,Christmas present,7,8
811,VIP,Back to school,4,2
812,New,Back to school,12,9
813,New,Summer preperation,25,3
814,VIP,Christmas present,9,6
815,VIP,Back to school,16,5
816,VIP,Christmas present,10,2
817,VIP,Christmas present,8,3
818,Loyal,Pre-fall shopping,12,6
819,New,Summer preperation,5,6
820,Loyal,Summer preperation,12,2
821,VIP,Christmas present,9,2
822,Loyal,Pre-fall shopping,18,3
823,VIP,Summer preperation,21,3
824,New,Christmas present,29,3
825,New,Summer preperation,9,2
826,Loyal,Christmas present,9,9
827,Loyal,Christmas present,29,1
828,New,Christmas present,23,9
829,Loyal,Pre-fall shopping,27,8
830,VIP,Christmas present,12,8
831,New,Pre-fall shopping,9,9
832,New,Summer preperation,8,4
833,New,Pre-fall shopping,9,6
834,New,Summer preperation,17,2
835,Loyal,Pre-fall shopping,26,6
836,New,Back to school,7,6
837,VIP,Pre-fall shopping,12,9
